"Nombre del autor","Nombre de la obra en inglés o idioma original","Versión en Español"
"Agatha Christie","And Then There Were None","Y no quedó ninguno"
"Agatha Christie","Murder on the Orient Express","Asesinato en el Orient Express"
"Aldous Huxley","Brave New World","Un mundo feliz"
"Aldous Huxley","Island","La isla"
"Alexandre Dumas","The Count of Monte Cristo","El conde de Montecristo"
"Alexandre Dumas","The Three Musketeers","Los tres mosqueteros"
"Alice Sebold","The Almost Moon","Casi la luna"
"Alice Sebold","The Lovely Bones","Desde mi cielo"
"Anita Diamant","The Last Days of Dogtown",""
"Anita Diamant","The Red Tent","La tienda roja"
"Ann Brashares","My Name Is Memory",""
"Ann Brashares","The Sisterhood of the Traveling Pants","Verano en vaqueros"
"Anne McCaffrey","Dragonflight","El vuelo del dragón"
"Anne McCaffrey","The White Dragon","El dragón blanco"
"Anne Rice","Interview with the Vampire","Entrevista con el vampiro"
"Anne Rice","The Vampire Lestat","Lestat el vampiro"
"Anthony Burgess","A Clockwork Orange","La naranja mecánica"
"Anthony Burgess","Earthly Powers","Poderes terrenales"
"Antoine de Saint-Exupéry","Night Flight","Vuelo nocturno"
"Antoine de Saint-Exupéry","The Little Prince","El principito"
"Arthur C. Clarke","2001: A Space Odyssey","2001: Una odisea espacial"
"Arthur C. Clarke","Rendezvous with Rama","Cita con Rama"
"Arthur Conan Doyle","canon of Sherlock Holmes","Canon de Sherlock Holmes"
"Arthur Conan Doyle","The Lost World","El mundo perdido"
"Audrey Niffenegger","Her Fearful Symmetry","Una inquietante simetría"
"Audrey Niffenegger","The Time Traveler's Wife","La mujer del viajero en el tiempo"
"Barbara Kingsolver","Animal, Vegetable, Miracle","Animal, vegetal, milagro"
"Barbara Kingsolver","The Poisonwood Bible","La Biblia envenenada"
"Bayard Taylor","Hannah Thurston",""
"Bayard Taylor","Views A-Foot",""
"Beatrice Sparks","Go Ask Alice","Pregúntale a Alicia"
"Beatrice Sparks","Jay’s Journal","Diario de Jay: historia verídica de un joven atrapado por el satanismo"
"Benjamin Franklin","Poor Richard’s Almanack","El almanaque del pobre Richard"
"Benjamin Franklin","The Autobiography of Benjamin Franklin","Autobiografía de Benjamin Franklin"
"Bernard DeVoto","Across the Wide Missouri","Más allá del ancho Misuri"
"Bernard DeVoto","The Course of Empire",""
"Betty Smith","A Tree Grows in Brooklyn","Un árbol crece en Brooklyn"
"Betty Smith","Tomorrow Will Be Better","Mañana puede ser un gran día"
"Bobbie Ann Mason","In Country",""
"Bobbie Ann Mason","Shiloh and Other Stories",""
"Boris Pasternak","Doctor Zhivago","Doctor Zhivago"
"Boris Pasternak","My Sister, Life","Mi hermana, la vida"
"Bram Stoker","Dracula","Drácula"
"Bram Stoker","The Jewel of Seven Stars","La joya de las siete estrellas"
"Brandon Sanderson","Mistborn: The Final Empire","El imperio final"
"Brandon Sanderson","The Way of Kings","El camino de los reyes"
"Brian Jacques","Mossflower","Mossflower"
"Brian Jacques","Redwall","Redwall"
"C. S. Lewis","Mere Christianity","Mero cristianismo"
"C. S. Lewis","The Chronicles of Narnia","Las crónicas de Narnia"
"Candace Bushnell","Lipstick Jungle","Mujeres de Manhattan"
"Candace Bushnell","Sex and the City","Sexo en Nueva York"
"Carson McCullers","The Heart Is a Lonely Hunter","El corazón es un cazador solitario"
"Carson McCullers","The Member of the Wedding","Frankie y la boda"
"Charles Bukowski","I Am Visited by an Editor and a Poet","Me visita un editor y un poeta"
"Charles Bukowski","Post Office","Cartero"
"Charles Dickens","A Christmas Carol","Cuento de Navidad"
"Charles Dickens","The Pickwick Papers","Los papeles póstumos del Club Pickwick"
"Charlotte Brontë","Jane Eyre","Jane Eyre"
"Charlotte Brontë","Villette","Villette"
"Chrétien de Troyes","Erec and Enide","Erec y Enide"
"Chrétien de Troyes","Yvain, the Knight of the Lion","Yvain o el caballero del león"
"Chuck Palahniuk","Choke","Asfixia"
"Chuck Palahniuk","Fight Club","El club de la lucha"
"Clement Clarke Moore","A Compendious Lexicon of the Hebrew Language",""
"Clement Clarke Moore","A Visit from St. Nicholas","Cuento de Nochebuena: una visita de San Nicolás"
"Cormac McCarthy","Blood Meridian","Meridiano de sangre"
"Cormac McCarthy","Suttree","Suttree"
"D. H. Lawrence","Sons and Lovers","Hijos y amantes"
"D. H. Lawrence","The Rainbow","El arco iris"
"Dan Brown","Angels & Demons","Ángeles y demonios"
"Dan Brown","The Da Vinci Code","El código Da Vinci"
"Daphne du Maurier","Jamaica Inn","La posada de Jamaica"
"Daphne du Maurier","Rebecca","Rebeca"
"Dashiell Hammett","The Maltese Falcon","El halcón maltés"
"Dashiell Hammett","The Thin Man","El hombre delgado"
"David Foster Wallace","Infinite Jest","La broma infinita"
"David Foster Wallace","The Pale King","El rey pálido"
"Deborah Harkness","A Discovery of Witches","El descubrimiento de las brujas"
"Deborah Harkness","Shadow of Night","La sombra de la noche"
"Diana Gabaldon","Dragonfly in Amber","Atrapada en el tiempo"
"Diana Gabaldon","Outlander","Forastera"
"Don DeLillo","Libra","Libra"
"Don DeLillo","White Noise","Ruido de fondo"
"Donna Tartt","The Little Friend","El pequeño amigo"
"Donna Tartt","The Secret History","El secreto"
"Dorothy Parker","Big Blonde","Rubia grande"
"Dorothy Parker","Selected Poems","Poemas seleccionados"
"Dr. Seuss","Green Eggs and Ham","Huevos verdes con jamón"
"Dr. Seuss","The Cat in the Hat","El gato ensombrerado"
"E. B. White","Charlotte’s Web","La telaraña de Carlota"
"E. B. White","Stuart Little","Stuart Little"
"E. L. James","Fifty Shades Darker","Cincuenta sombras más oscuras"
"E. L. James","Fifty Shades of Grey","Cincuenta sombras de Grey"
"Edgar Allan Poe","The Cask of Amontillado","El barril de amontillado"
"Edgar Allan Poe","The Fall of the House of Usher","La caída de la Casa Usher"
"Edward Albee","The Goat, or Who Is Sylvia?","La cabra o ¿Quién es Sylvia?"
"Edward Albee","Who's Afraid of Virginia Woolf?","¿Quién teme a Virginia Woolf?"
"Emily Brontë","Poems by Currer, Ellis, and Acton Bell",""
"Emily Brontë","Wuthering Heights","Cumbres borrascosas"
"Eric Carle","The Grouchy Ladybug","La mariquita gruñona"
"Eric Carle","The Very Hungry Caterpillar","La pequeña oruga glotona"
"Erin Morgenstern","The Night Circus","El circo de la noche"
"Erin Morgenstern","The Starless Sea","El mar sin estrellas"
"Erle Stanley Gardner","Cool and Lam",""
"Erle Stanley Gardner","Perry Mason","Perry Mason"
"Ernest Cline","Armada","Armada"
"Ernest Cline","Ready Player One","Ready Player One"
"Ernest Hemingway","A Moveable Feast","París era una fiesta"
"Ernest Hemingway","The Sun Also Rises","Fiesta"
"Esther Forbes","Johnny Tremain",""
"Esther Forbes","Paul Revere and the World He Lived In",""
"Eudora Welty","A Curtain of Green","Una cortina de follaje"
"Eudora Welty","A Worn Path","El sendero trillado"
"Eugene O'Neill","Long Day's Journey into Night","Largo viaje hacia la noche"
"Eugene O'Neill","The Iceman Cometh","Aquí está el vendedor de hielo"
"Evelyn Waugh","A Handful of Dust","Un puñado de polvo"
"Evelyn Waugh","Brideshead Revisited","Retorno a Brideshead"
"F. Scott Fitzgerald","Tender Is the Night","Suave es la noche"
"F. Scott Fitzgerald","The Great Gatsby","El gran Gatsby"
"Frances Hodgson Burnett","A Little Princess","La princesita"
"Frances Hodgson Burnett","Little Lord Fauntleroy","El pequeño lord"
"Frank Herbert","Dune","Dune"
"Frank Herbert","Dune Messiah","El mesías de Dune"
"Franz Kafka","The Metamorphosis","La metamorfosis"
"Franz Kafka","The Trial","El proceso"
"Fyodor Dostoyevsky","Crime and Punishment","Crimen y castigo"
"Fyodor Dostoyevsky","Notes from Underground","Memorias del subsuelo"
"Gabriel García Márquez","Love in the Time of Cholera","El amor en los tiempos del cólera"
"Gabriel García Márquez","One Hundred Years of Solitude","Cien años de soledad"
"Garth Nix","Sabriel","Sabriel"
"Garth Nix","The Keys to the Kingdom","Las llaves del Reino"
"Gayle Forman","If I Stay","Si decido quedarme"
"Gayle Forman","Where She Went","Lo que fue de ella"
"George Orwell","Animal Farm","Rebelión en la granja"
"George Orwell","Nineteen Eighty-Four","1984"
"George R. R. Martin","A Clash of Kings","Choque de reyes"
"George R. R. Martin","A Game of Thrones","Juego de tronos"
"George Washington","Rules of Civility and Decent Behaviour",""
"George Washington","The Papers of George Washington",""
"Gillian Flynn","Dark Places","Lugares oscuros"
"Gillian Flynn","Gone Girl","Perdida"
"Graham Greene","The Power and the Glory","El poder y la gloria"
"Graham Greene","The Quiet American","El americano tranquilo"
"Guillermo Cabrera Infante","La Habana para un infante difunto","La Habana para un infante difunto"
"Guillermo Cabrera Infante","Tres tristes tigres","Tres tristes tigres"
"Gustave Flaubert","Madame Bovary","Madame Bovary"
"Gustave Flaubert","Salammbô","Salambó"
"H. G. Wells","The Outline of History","Esquema de la historia universal"
"H. G. Wells","The Time Machine","La máquina del tiempo"
"Harlan Coben","Tell No One","No se lo digas a nadie"
"Harlan Coben","The Stranger","El extraño"
"Harper Lee","Go Set a Watchman","Ve y pon un centinela"
"Harper Lee","To Kill a Mockingbird","Matar a un ruiseñor"
"Haruki Murakami","A Wild Sheep Chase","La caza del carnero salvaje"
"Haruki Murakami","Norwegian Wood","Tokio blues"
"Helen Fielding","Bridget Jones: The Edge of Reason","Bridget Jones: Sobreviviré"
"Helen Fielding","Bridget Jones’s Diary","El diario de Bridget Jones"
"Herman Melville","Bartleby, the Scrivener","Bartleby, el escribiente"
"Herman Melville","Moby-Dick","Moby Dick"
"Homer","Iliad","Ilíada"
"Homer","Odyssey","Odisea"
"Hunter S. Thompson","Fear and Loathing in Las Vegas","Miedo y asco en Las Vegas"
"Hunter S. Thompson","The Rum Diary","El diario del ron"
"Ian Fleming","Casino Royale","Casino Royale"
"Ian Fleming","From Russia, with Love","Desde Rusia con amor"
"Isaac Asimov","Foundation series","Ciclo de la Fundación"
"Isaac Asimov","Robot series","Serie de los robots"
"J. D. Salinger","Nine Stories","Nueve cuentos"
"J. D. Salinger","The Catcher in the Rye","El guardián entre el centeno"
"J. R. R. Tolkien","The Hobbit","El hobbit"
"J. R. R. Tolkien","The Lord of the Rings","El Señor de los Anillos"
"Jack Kerouac","Big Sur","Big Sur"
"Jack Kerouac","On the Road","En el camino"
